Run ID,Algorithm,Dataset,Forget Ratio,Seed,Success,Error,accuracy_after,accuracy_before,f1_after,f1_before,forget_accuracy,knowledge_retention,memorization_score,mia_success_after,mia_success_before,precision_after,precision_before,privacy_leakage,recall_after,recall_before,trust_score,utility_loss,time_memory_peak_mb,time_speedup,time_training_time,time_unlearning_time
1,sisa,ag_news,0.1000,43,1,,0.6140,0.6060,0.6091,0.6014,0.5778,1.0132,-0.0963,0.6800,0.7050,0.6751,0.6977,0.2644,0.6083,0.5965,0.5839,-0.0080,0.0000,1.0022,0.2825,0.2819
2,sisa,ag_news,0.1000,44,1,,0.5960,0.7020,0.5587,0.6912,0.5111,0.8490,-0.1071,0.6250,0.6650,0.6692,0.7119,0.3023,0.5847,0.6968,0.5222,0.1060,0.0000,1.0264,0.2902,0.2828
3,sisa,ag_news,0.1000,45,1,,0.6240,0.7100,0.6061,0.7039,0.4889,0.8789,-0.0844,0.6100,0.6700,0.6748,0.7303,0.3323,0.6238,0.7097,0.5247,0.0860,0.0000,1.0074,0.2855,0.2834
4,sisa,ag_news,0.1000,46,1,,0.6960,0.7020,0.6877,0.6954,0.6889,0.9915,-0.0912,0.6650,0.6650,0.6966,0.7079,0.3001,0.7032,0.7076,0.5727,0.0060,0.0000,1.0273,0.2910,0.2832
0,sisa,ag_news,0.2500,42,1,,0.5620,0.6020,0.5356,0.5874,0.5699,0.9336,-0.0970,0.6700,0.6850,0.6243,0.6529,0.2820,0.5772,0.6118,0.5528,0.0400,0.0000,0.8697,0.2691,0.3094
1,sisa,ag_news,0.2500,43,1,,0.5100,0.5360,0.4673,0.5138,0.5161,0.9515,-0.1308,0.6500,0.6900,0.5856,0.6128,0.2802,0.5071,0.5282,0.5589,0.0260,0.0000,0.8483,0.2597,0.3062
2,sisa,ag_news,0.2500,44,1,,0.6040,0.6040,0.5848,0.5760,0.6344,1.0000,-0.1022,0.6300,0.6500,0.6049,0.6189,0.3065,0.6033,0.5900,0.5700,0.0000,0.0000,0.8729,0.2670,0.3058
3,sisa,ag_news,0.2500,45,1,,0.5420,0.5940,0.4975,0.5755,0.5914,0.9125,-0.0950,0.6350,0.6800,0.6366,0.7114,0.2812,0.5266,0.5827,0.5445,0.0520,0.0000,0.8320,0.2603,0.3129
4,sisa,ag_news,0.2500,46,1,,0.6160,0.6440,0.6069,0.6441,0.6237,0.9565,-0.1005,0.6900,0.7000,0.6298,0.6455,0.2518,0.6170,0.6452,0.5669,0.0280,0.0000,0.8191,0.2515,0.3071
0,scrub,ag_news,0.0500,42,1,,0.8000,0.7860,0.7997,0.7855,0.9565,1.0178,-0.3094,0.5000,0.5000,0.8000,0.7924,0.1199,0.8046,0.7915,0.5746,-0.0140,0.0000,0.0478,0.1773,3.7112
1,scrub,ag_news,0.0500,43,1,,0.7840,0.7820,0.7810,0.7803,1.0000,1.0026,-0.3066,0.5000,0.5000,0.7809,0.7816,0.1005,0.7816,0.7794,0.5794,-0.0020,0.0000,0.0475,0.2008,4.2257
2,scrub,ag_news,0.0500,44,1,,0.8100,0.7860,0.8067,0.7812,1.0000,1.0305,-0.3323,0.5000,0.5000,0.8067,0.7837,0.0969,0.8100,0.7864,0.5818,-0.0240,0.0000,0.0646,0.2256,3.4956
3,scrub,ag_news,0.0500,45,1,,0.8180,0.8220,0.8170,0.8217,1.0000,0.9951,-0.2880,0.5000,0.5000,0.8194,0.8257,0.1216,0.8188,0.8221,0.5742,0.0040,0.0000,0.0677,0.2152,3.1787
4,scrub,ag_news,0.0500,46,1,,0.7700,0.7680,0.7708,0.7682,1.0000,1.0026,-0.2918,0.5000,0.5000,0.7723,0.7750,0.1113,0.7734,0.7721,0.5773,-0.0020,0.0000,0.0540,0.1885,3.4904
0,scrub,ag_news,0.1000,42,1,,0.7840,0.7860,0.7839,0.7862,1.0000,0.9975,-0.3126,0.5000,0.5000,0.7851,0.7919,0.0993,0.7893,0.7916,0.5787,0.0020,0.0000,0.0457,0.1914,4.1873
1,scrub,ag_news,0.1000,43,1,,0.7840,0.7800,0.7828,0.7784,1.0000,1.0051,-0.3095,0.5000,0.5000,0.7834,0.7793,0.0955,0.7836,0.7777,0.5814,-0.0040,0.0000,0.0554,0.1937,3.4932
2,scrub,ag_news,0.1000,44,1,,0.7980,0.7940,0.7940,0.7898,1.0000,1.0050,-0.3313,0.5000,0.5000,0.7947,0.7930,0.1039,0.7976,0.7951,0.5795,-0.0040,0.0000,0.0575,0.2018,3.5061
3,scrub,ag_news,0.1000,45,1,,0.8220,0.8140,0.8212,0.8135,0.9778,1.0098,-0.2948,0.5000,0.5000,0.8237,0.8186,0.1219,0.8233,0.8137,0.5744,-0.0080,0.0000,0.0512,0.2070,4.0409
4,scrub,ag_news,0.1000,46,1,,0.7580,0.7660,0.7589,0.7642,1.0000,0.9896,-0.3037,0.5000,0.5000,0.7632,0.7747,0.1142,0.7627,0.7710,0.5736,0.0080,0.0000,0.0610,0.2026,3.3228
0,scrub,ag_news,0.2500,42,1,,0.7880,0.7600,0.7888,0.7596,1.0000,1.0368,-0.3296,0.5000,0.5000,0.7954,0.7741,0.1212,0.7946,0.7676,0.5750,-0.0280,0.0000,0.0556,0.1896,3.4109
1,scrub,ag_news,0.2500,43,1,,0.7420,0.7200,0.7428,0.7199,1.0000,1.0306,-0.3555,0.5000,0.5000,0.7482,0.7329,0.0967,0.7434,0.7169,0.5808,-0.0220,0.0000,0.0528,0.1992,3.7704
2,scrub,ag_news,0.2500,44,1,,0.7640,0.7560,0.7586,0.7479,1.0000,1.0106,-0.3395,0.5000,0.5000,0.7602,0.7513,0.1175,0.7626,0.7550,0.5755,-0.0080,0.0000,0.0509,0.1856,3.6440
3,scrub,ag_news,0.2500,45,1,,0.8000,0.7820,0.7994,0.7794,1.0000,1.0230,-0.3037,0.5000,0.5000,0.8052,0.8069,0.1131,0.7998,0.7782,0.5762,-0.0180,0.0000,0.0467,0.1780,3.8072
4,scrub,ag_news,0.2500,46,1,,0.7660,0.7620,0.7694,0.7633,1.0000,1.0052,-0.3316,0.5000,0.5000,0.7774,0.7706,0.1200,0.7693,0.7662,0.5752,-0.0040,0.0000,0.0548,0.1800,3.2838
0,influence_functions,ag_news,0.0500,42,1,,0.7740,0.7860,0.7734,0.7855,0.8261,0.9847,-0.3094,0.5000,0.5000,0.7770,0.7924,0.1741,0.7784,0.7915,0.6218,0.0120,0.0000,0.4613,0.1640,0.3554
1,influence_functions,ag_news,0.0500,43,1,,0.7800,0.7820,0.7778,0.7803,0.7391,0.9974,-0.3066,0.5000,0.5000,0.7789,0.7816,0.1529,0.7773,0.7794,0.6713,0.0020,0.0000,0.4742,0.1632,0.3441
2,influence_functions,ag_news,0.0500,44,1,,0.7960,0.7860,0.7932,0.7812,0.8261,1.0127,-0.3323,0.5000,0.5000,0.7944,0.7837,0.1738,0.7942,0.7864,0.6427,-0.0100,0.0000,0.5141,0.1895,0.3686
3,influence_functions,ag_news,0.0500,45,1,,0.8180,0.8220,0.8179,0.8217,0.9565,0.9951,-0.2880,0.5000,0.5000,0.8239,0.8257,0.1871,0.8178,0.8221,0.5973,0.0040,0.0000,0.4878,0.1736,0.3559
4,influence_functions,ag_news,0.0500,46,1,,0.7560,0.7680,0.7568,0.7682,0.7826,0.9844,-0.2918,0.5000,0.5000,0.7661,0.7750,0.1755,0.7602,0.7721,0.6493,0.0120,0.0000,0.5022,0.1780,0.3544
0,influence_functions,ag_news,0.1000,42,1,,0.7820,0.7860,0.7814,0.7862,0.8444,0.9949,-0.3126,0.5000,0.5000,0.7884,0.7919,0.1549,0.7889,0.7916,0.6410,0.0040,0.0000,0.5339,0.1750,0.3277
